#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

trending|House prices have been {{c1::trending}} upward for the past five years.|House prices have been trending upward for the past five years.|过去五年，房价一直呈上升趋势。|To change or develop in a general direction.|朝着某个总体方向变化或发展。|trend|verb|move, drift, gravitate, incline|
extreme|The explorers faced {{c1::extreme}} weather conditions in Antarctica.|The explorers faced extreme weather conditions in Antarctica.|探险者在南极洲面临极端恶劣的天气条件。|Reaching a high or the highest degree; very great.|达到高度或最高程度；非常大的。|extreme|adjective|severe, intense, acute, great|moderate, mild, slight
extreme|They built their cabin at the {{c1::extreme}} end of the valley.|They built their cabin at the extreme end of the valley.|他们在山谷的最远端建造了小屋。|Far from the center or a given point; outermost.|远离中心或给定点；最外面的。|extreme|adjective|furthest, utmost, ultimate, final|central, middle
extremes|His behavior veers between two {{c1::extremes}}.|His behavior veers between two extremes.|他的行为在两个极端之间摇摆。|The highest or most extreme degree of something.|某事物的最高或最极端程度。|extreme|noun|maximum, height, zenith, peak|minimum, middle
skipped|The children {{c1::skipped}} happily down the path.|The children skipped happily down the path.|孩子们沿着小路欢快地跳跃。|To move along lightly, stepping from one foot to the other with a hop or bounce.|轻快地移动，从一只脚到另一只脚，伴随着跳跃或弹跳。|skip|verb|hop, bound, leap, jump|trudge, plod
skip|She decided to {{c1::skip}} the introduction and go straight to chapter one.|She decided to skip the introduction and go straight to chapter one.|她决定跳过介绍，直接进入第一章。|To omit or pass over something.|省略或跳过某事物。|skip|verb|omit, miss, bypass, leave out|include, cover
skipped|He {{c1::skipped}} class to go to the beach.|He skipped class to go to the beach.|他逃课去了海滩。|To fail to attend something.|未能参加某事。|skip|verb|miss, avoid, duck out of|attend, participate in
skip|She did a little {{c1::skip}} as she walked along.|She did a little skip as she walked along.|她走路时做了个小跳跃。|The act of skipping or jumping lightly.|跳跃或轻跳的动作。|skip|noun|hop, jump, leap|
military|He served in the {{c1::military}} for twenty years.|He served in the military for twenty years.|他在军队服役二十年。|The armed forces of a country.|一个国家的武装力量。|military|noun|armed forces, army, defense force|
military|The country increased its {{c1::military}} spending last year.|The country increased its military spending last year.|该国去年增加了军事开支。|Relating to or characteristic of soldiers or armed forces.|与士兵或武装部队有关或具有其特征的。|military|adjective|martial, army, naval, defense|civilian, peaceful
military|The school was run with {{c1::military}} precision.|The school was run with military precision.|这所学校以军事般的精确性运作。|Having a highly organized or formal structure similar to that of the armed forces.|具有与武装部队相似的高度组织化或正式结构。|military|adjective|regimented, disciplined, strict, rigorous|casual, relaxed, informal
poison|Arsenic is a deadly {{c1::poison}} that has no taste or smell.|Arsenic is a deadly poison that has no taste or smell.|砒霜是一种无味无嗅的致命毒药。|A substance that is capable of causing illness or death when ingested, inhaled, or absorbed by a living organism.|一种能够在被生物摄入、吸入或吸收时导致疾病或死亡的物质。|poison|noun|toxin, venom, toxic substance|antidote, remedy
poison|Jealousy is a {{c1::poison}} that can destroy relationships.|Jealousy is a poison that can destroy relationships.|嫉妒是一种能够摧毁关系的毒药。|Something harmful or destructive to happiness or welfare.|对幸福或福利有害或破坏性的事物。|poison|noun|bane, plague, curse, affliction|blessing, benefit
poisoned|The spy was {{c1::poisoned}} with a radioactive substance.|The spy was poisoned with a radioactive substance.|那个间谍被放射性物质毒死了。|To administer poison to (a person or animal), especially with intent to kill.|给（人或动物）下毒，尤其是意图杀死。|poison|verb|contaminate, envenom, adulterate|purify, cleanse
poisoned|His negative attitude {{c1::poisoned}} the atmosphere at the meeting.|His negative attitude poisoned the atmosphere at the meeting.|他消极的态度毒化了会议的氛围。|To have a harmful influence on; corrupt or spoil.|对...产生有害影响；腐蚀或破坏。|poison|verb|corrupt, taint, pollute, contaminate|purify, improve, enhance
vested|The employees have {{c1::vested}} rights to their pension benefits.|The employees have vested rights to their pension benefits.|员工对他们的养老金福利拥有既得权利。|Having a specified right or privilege that is secured or settled, especially by law or authority.|拥有特定的权利或特权，尤其是通过法律或权威确保或确立的。|vested|adjective|established, secured, guaranteed, fixed|contingent, unsecured
vested|The committee members had {{c1::vested}} interests in the outcome of the vote.|The committee members had vested interests in the outcome of the vote.|委员会成员对投票结果有既得利益。|Having a personal interest or stake in something.|对某事物有个人利益或利害关系。|vested|adjective|personal, direct, special|disinterested, impartial
vested|The authority {{c1::vested}} in the president allows for executive orders.|The authority vested in the president allows for executive orders.|赋予总统的权力允许发布行政命令。|Past tense and past participle of vest.|vest的过去式和过去分词。|vested|verb||
symphony|Beethoven's Fifth {{c1::symphony}} is one of the most famous pieces of classical music.|Beethoven's Fifth Symphony is one of the most famous pieces of classical music.|贝多芬的第五交响曲是最著名的古典音乐作品之一。|An elaborate musical composition for full orchestra, typically in four movements.|为管弦乐队创作的复杂音乐作品，通常分为四个乐章。|symphony|noun|orchestral work, concerto, sonata|
symphony|The London {{c1::symphony}} is performing next weekend.|The London Symphony is performing next weekend.|伦敦交响乐团将在下周末演出。|An orchestra that performs symphonies and other similar works.|演奏交响曲和其他类似作品的管弦乐队。|symphony|noun|orchestra, philharmonic|
symphony|The garden was a {{c1::symphony}} of colors and fragrances.|The garden was a symphony of colors and fragrances.|花园是色彩和香气的交响乐。|A harmonious combination of elements.|元素的和谐组合。|symphony|noun|harmony, blend, arrangement, composition|cacophony, discord
locate|The rescue team was able to {{c1::locate}} the missing hikers.|The rescue team was able to locate the missing hikers.|救援队能够找到失踪的徒步旅行者。|To discover the exact place or position of something or someone.|发现某物或某人的确切地点或位置。|locate|verb|find, discover, pinpoint, spot, trace|lose, misplace
locate|The company decided to {{c1::locate}} its new factory in the industrial zone.|The company decided to locate its new factory in the industrial zone.|该公司决定将新工厂设在工业区。|To establish or situate in a particular place.|在特定地点建立或安置。|locate|verb|position, place, situate, establish, set up|remove, relocate
locate|The GPS system helps drivers {{c1::locate}} their destination.|The GPS system helps drivers locate their destination.|GPS系统帮助驾驶员找到目的地。|To determine or specify the position of something.|确定或指明某物的位置。|locate|verb|identify, determine, establish, ascertain|
classify|Scientists {{c1::classify}} animals according to their physical characteristics.|Scientists classify animals according to their physical characteristics.|科学家根据动物的物理特征对它们进行分类。|To arrange or organize according to class or category.|根据类别或种类进行安排或组织。|classify|verb|categorize, group, sort, organize, arrange|jumble, mix, confuse
classified|The government {{c1::classified}} the documents to protect national security.|The government classified the documents to protect national security.|政府将这些文件列为机密以保护国家安全。|To designate as confidential, secret, or top secret.|指定为机密、秘密或绝密。|classify|verb|restrict, withhold, censor|declassify, release, publish
classifies|The museum {{c1::classifies}} this painting as Impressionist.|The museum classifies this painting as Impressionist.|博物馆将这幅画归类为印象派作品。|To assign to a particular class, group, or category.|分配到特定的类别、群组或种类。|classify|verb|label, identify, characterize, designate|
enthusiastic|The crowd was {{c1::enthusiastic}} about the new performance.|The crowd was enthusiastic about the new performance.|观众对新表演充满热情。|Having or showing intense and eager enjoyment, interest, or approval.|具有或表现出强烈而热切的享受、兴趣或赞同。|enthusiastic|adjective|eager, keen, ardent, passionate, zealous|unenthusiastic, apathetic, indifferent, lukewarm
enthusiastic|She received an {{c1::enthusiastic}} welcome from her supporters.|She received an enthusiastic welcome from her supporters.|她受到了支持者热情的欢迎。|Feeling or showing strong excitement and interest in something.|对某事物感到或表现出强烈的兴奋和兴趣。|enthusiastic|adjective|excited, energetic, fervent, avid, devoted|reluctant, disinterested, halfhearted
altered|The tailor {{c1::altered}} the suit to fit me better.|The tailor altered the suit to fit me better.|裁缝修改了西装，使其更合身。|To change or make different in some way; modify.|以某种方式改变或使不同；修改。|alter|verb|change, modify, adjust, transform, adapt|keep, maintain, preserve
altered|They {{c1::altered}} the house by adding an extension at the back.|They altered the house by adding an extension at the back.|他们通过在后面增加扩建部分来改造房子。|To make structural changes to a building or garment.|对建筑物或服装进行结构性改变。|alter|verb|remodel, renovate, restructure, revamp|restore, reinstate
altering|The veterinarian recommended {{c1::altering}} the cat to prevent unwanted litters.|The veterinarian recommended altering the cat to prevent unwanted litters.|兽医建议给猫做绝育手术以防止不必要的繁殖。|To castrate or spay an animal.|给动物阉割或绝育。|alter|verb|neuter, spay, castrate, sterilize|
disqualified|The athlete was {{c1::disqualified}} for using performance-enhancing drugs.|The athlete was disqualified for using performance-enhancing drugs.|该运动员因使用兴奋剂而被取消资格。|To declare someone ineligible for an activity, competition, benefit, or privilege.|宣布某人不符合参加活动、比赛、享受福利或特权的资格。|disqualify|verb|exclude, bar, ban, reject, eliminate|qualify, admit, accept, approve
disqualified|His criminal record {{c1::disqualified}} him from certain types of employment.|His criminal record disqualified him from certain types of employment.|他的犯罪记录使他不符合某些类型的就业资格。|To render someone unsuitable or unfit for something.|使某人不适合或不胜任某事。|disqualify|verb|invalidate, incapacitate, disable, unfit|enable, empower, authorize
disqualified|The judge {{c1::disqualified}} the attorney because she had previously represented the opposing party.|The judge disqualified the attorney because she had previously represented the opposing party.|法官取消了该律师的资格，因为她之前曾代表对方当事人。|To legally prohibit a lawyer from representing a client due to a conflict of interest.|因利益冲突而在法律上禁止律师代表客户。|disqualify|verb|recuse, remove, prohibit|
database|The company maintains a {{c1::database}} of all its customers.|The company maintains a database of all its customers.|该公司维护着所有客户的数据库。|A structured set of data held in a computer, especially one that is accessible in various ways.|存储在计算机中的结构化数据集，尤其是可以通过各种方式访问的数据集。|database|noun|databank, information repository, data store|
database|The researchers used a genetic {{c1::database}} to identify patterns in DNA sequences.|The researchers used a genetic database to identify patterns in DNA sequences.|研究人员使用基因数据库来识别DNA序列中的模式。|A collection of information organized in such a way that a computer program can quickly select desired pieces of data.|以一种计算机程序可以快速选择所需数据片段的方式组织的信息集合。|database|noun|data system, information system|
maximum|The thermometer reached a {{c1::maximum}} of 40°C yesterday.|The thermometer reached a maximum of 40°C yesterday.|昨天温度计达到了40°C的最高值。|The greatest amount, value, or degree attained or attainable.|达到或可达到的最大数量、价值或程度。|maximum|noun|peak, pinnacle, apex, ceiling, limit|minimum, nadir, floor
maximum|The {{c1::maximum}} penalty for this offense is five years in prison.|The maximum penalty for this offense is five years in prison.|这种罪行的最高刑罚是五年监禁。|The highest or greatest amount, quantity, or degree possible or permitted.|可能或允许的最高或最大数量、量或程度。|maximum|adjective|highest, greatest, largest, utmost|minimum, lowest, least
maximum|The function f(x) = -x² + 4x - 3 has a {{c1::maximum}} at x = 2.|The function f(x) = -x² + 4x - 3 has a maximum at x = 2.|函数f(x) = -x² + 4x - 3在x = 2处有一个最大值。|In mathematics, a local maximum is a value that is larger than neighboring values.|在数学中，局部最大值是比相邻值更大的值。|maximum|noun|peak, high point|minimum, low point
delivery|The store offers free {{c1::delivery}} for orders over $50.|The store offers free delivery for orders over $50.|该商店为50美元以上的订单提供免费送货服务。|The act of taking something to a person or place.|将某物送到某人或某地的行为。|delivery|noun|distribution, conveyance, transport, shipment|collection, pickup
delivery|She had a difficult {{c1::delivery}} with her first child.|She had a difficult delivery with her first child.|她生第一个孩子时经历了艰难的分娩。|The process of giving birth.|分娩的过程。|delivery|noun|childbirth, birth, labor, parturition|
delivery|The professor's {{c1::delivery}} was so monotonous that several students fell asleep.|The professor's delivery was so monotonous that several students fell asleep.|教授的演讲方式非常单调，以至于几个学生睡着了。|The manner or style of giving a speech.|发表演讲的方式或风格。|delivery|noun|presentation, speech, articulation, elocution|
delivery|The pitcher's {{c1::delivery}} was fast and accurate.|The pitcher's delivery was fast and accurate.|投手的投球又快又准。|The act of throwing a ball to a batter in baseball or cricket.|在棒球或板球中向击球手投球的行为。|delivery|noun|pitch, bowl, throw|
undergraduate|As an {{c1::undergraduate}}, she majored in psychology.|As an undergraduate, she majored in psychology.|作为本科生，她主修心理学。|A university or college student who has not yet received a first degree.|尚未获得第一个学位的大学生。|undergraduate|noun|student, college student, university student|graduate, postgraduate
undergraduate|The university offers several {{c1::undergraduate}} courses in engineering.|The university offers several undergraduate courses in engineering.|该大学提供几门工程学的本科课程。|Relating to the first or bachelor's degree level of university or college education.|与大学教育的第一个或学士学位水平相关的。|undergraduate|adjective|bachelor's, first-degree|graduate, postgraduate, doctoral
focus|The {{c1::focus}} of the discussion was on economic policy.|The focus of the discussion was on economic policy.|讨论的重点是经济政策。|The center of interest or activity.|兴趣或活动的中心。|focus|noun|center, focal point, heart, hub, nucleus|periphery, margin
focus|The camera automatically adjusts the {{c1::focus}}.|The camera automatically adjusts the focus.|相机自动调整焦距。|The state or quality of having or producing clear visual definition.|具有或产生清晰视觉定义的状态或质量。|focus|noun|clarity, definition, sharpness, resolution|blur, fuzziness
focus|It took a moment for her eyes to {{c1::focus}} in the dark room.|It took a moment for her eyes to focus in the dark room.|她的眼睛花了一点时间才能在黑暗的房间里对焦。|To adapt to the prevailing level of light and become able to see clearly.|适应当前的光线水平并能够清晰地看到。|focus|verb|adjust, adapt, accommodate|blur, defocus
focusing|The company is {{c1::focusing}} on developing new products.|The company is focusing on developing new products.|公司正专注于开发新产品。|To pay particular attention to.|特别注意。|focus|verb|concentrate, center, fix, direct, target|ignore, disregard, overlook
administers|She {{c1::administers}} a large educational foundation.|She administers a large educational foundation.|她管理着一个大型教育基金会。|To manage and be responsible for the running of (a business, organization, etc.).|管理并负责（企业、组织等）的运作。|administer|verb|manage, run, direct, govern, supervise|
administered|The doctor {{c1::administered}} a sedative to calm the patient.|The doctor administered a sedative to calm the patient.|医生给病人服用了镇静剂使其平静下来。|To dispense or apply (a remedy, treatment, etc.).|分发或应用（药物、治疗等）。|administer|verb|give, dispense, provide, supply, furnish|withhold, withdraw
administered|The teacher {{c1::administered}} the exam to thirty students.|The teacher administered the exam to thirty students.|老师对三十名学生进行了考试。|To perform or execute (a test, task, etc.).|执行或实施（测试、任务等）。|administer|verb|conduct, carry out, execute, implement, perform|
ash|The fireplace was full of {{c1::ash}} from last night's fire.|The fireplace was full of ash from last night's fire.|壁炉里满是昨晚火烧后的灰烬。|The powdery residue left after the burning of a substance.|物质燃烧后留下的粉状残留物。|ash|noun|cinders, embers, residue, remains|
ash|The forest was primarily composed of oak and {{c1::ash}} trees.|The forest was primarily composed of oak and ash trees.|这片森林主要由橡树和梣树组成。|A tree of the genus Fraxinus, typically having silver-gray bark and compound leaves.|梣树属的树，通常具有银灰色树皮和复叶。|ash|noun|ash tree, fraxinus|
ashes|His {{c1::ashes}} were scattered at sea according to his wishes.|His ashes were scattered at sea according to his wishes.|按照他的遗愿，他的骨灰被撒入大海。|The remains of a human body after cremation or complete incineration.|火化或完全焚烧后的人体遗骸。|ash|noun|cremains, remains, dust|
intensified|The storm {{c1::intensified}} as it moved toward the coast.|The storm intensified as it moved toward the coast.|风暴向海岸移动时变得更加猛烈。|To become or make more intense, acute, or severe.|变得或使更加强烈、尖锐或严重。|intensify|verb|strengthen, increase, heighten, deepen, amplify|weaken, decrease, lessen, diminish, moderate
intensified|The photographer {{c1::intensified}} the shadows to create a more dramatic effect.|The photographer intensified the shadows to create a more dramatic effect.|摄影师加强了阴影效果，以创造更戏剧性的效果。|To increase the contrast or definition of (a photographic image).|增加（摄影图像）的对比度或清晰度。|intensify|verb|enhance, sharpen, boost, improve|soften, reduce, mute
inventory|The museum keeps a detailed {{c1::inventory}} of all its artifacts.|The museum keeps a detailed inventory of all its artifacts.|博物馆保存着所有文物的详细清单。|A complete list of items such as property, goods in stock, or the contents of a building.|物品的完整清单，如财产、库存商品或建筑物的内容。|inventory|noun|list, catalog, record, register, directory|
inventory|The store reduced prices to clear excess {{c1::inventory}}.|The store reduced prices to clear excess inventory.|商店降价以清理过剩库存。|The goods or materials that a business holds for the purpose of resale.|企业为转售目的而持有的商品或材料。|inventory|noun|stock, supply, merchandise, goods|
inventorying|They spent the weekend {{c1::inventorying}} the contents of the warehouse.|They spent the weekend inventorying the contents of the warehouse.|他们花了整个周末清点仓库里的物品。|To make an inventory of; to catalog or list.|对...进行清点；编目或列出。|inventory|verb|catalog, list, record, document, register|
event|The concert was the main {{c1::event}} of the festival.|The concert was the main event of the festival.|音乐会是节日的主要活动。|A thing that happens or takes place, especially one of importance.|发生或进行的事情，尤指重要的事情。|event|noun|occurrence, incident, happening, occasion, affair|
event|They're organizing a fundraising {{c1::event}} for the charity.|They're organizing a fundraising event for the charity.|他们正在为慈善机构组织一场筹款活动。|A planned public or social occasion.|计划好的公共或社交场合。|event|noun|function, gathering, meeting, celebration, ceremony|
event|She won a gold medal in the 100-meter sprint {{c1::event}}.|She won a gold medal in the 100-meter sprint event.|她在100米短跑项目中获得了金牌。|A contest in a sports competition.|体育比赛中的一个项目。|event|noun|competition, contest, match, game, tournament|
event|The theory describes how different observers perceive the same {{c1::event}} in spacetime.|The theory describes how different observers perceive the same event in spacetime.|该理论描述了不同的观察者如何感知时空中的同一事件。|In physics, a point in spacetime specified by time and place.|在物理学中，由时间和地点指定的时空中的一个点。|event|noun|occurrence, phenomenon|
crucial|The next few days will be {{c1::crucial}} in determining the outcome of the negotiations.|The next few days will be crucial in determining the outcome of the negotiations.|接下来的几天对确定谈判结果至关重要。|Decisive or critical, especially in the success or failure of something.|决定性的或关键性的，尤其是在某事的成功或失败方面。|crucial|adjective|critical, decisive, vital, important, essential|unimportant, insignificant, trivial, minor, negligible
crucial|The {{c1::crucial}} ligaments of the knee provide stability to the joint.|The crucial ligaments of the knee provide stability to the joint.|膝盖的十字韧带为关节提供稳定性。|Having the form of a cross; cross-shaped.|具有十字形状的；十字形的。|crucial|adjective|cross-shaped, cruciform|
stage|The band performed on a large {{c1::stage}} in the center of the stadium.|The band performed on a large stage in the center of the stadium.|乐队在体育场中央的大舞台上表演。|A raised floor or platform, typically in a theater, on which actors, entertainers, or speakers perform.|升高的地板或平台，通常在剧院中，演员、艺人或演讲者在上面表演。|stage|noun|platform, dais, podium, rostrum|
stages|The project is still in its early {{c1::stages}}.|The project is still in its early stages.|该项目仍处于早期阶段。|A point, period, or step in a process or development.|过程或发展中的一个点、时期或步骤。|stage|noun|phase, period, step, level, point|
staging|The theater company is {{c1::staging}} a new production of Hamlet.|The theater company is staging a new production of Hamlet.|这个剧团正在上演《哈姆雷特》的新制作。|To organize and present a public event or performance.|组织和呈现公共活动或表演。|stage|verb|present, produce, put on, mount, perform|cancel, abandon
staged|The real estate agent {{c1::staged}} the house to make it more appealing to buyers.|The real estate agent staged the house to make it more appealing to buyers.|房地产经纪人对房子进行了布置，使其对买家更具吸引力。|To arrange or set up for a particular purpose, often to achieve a desired impression.|为特定目的安排或设置，通常是为了达到预期的印象。|stage|verb|arrange, organize, coordinate, orchestrate, set up|
aeration|Proper {{c1::aeration}} of the soil helps plants grow better.|Proper aeration of the soil helps plants grow better.|适当的土壤通气有助于植物更好地生长。|The process of exposing to air or adding air to a substance.|将物质暴露于空气中或向物质中加入空气的过程。|aeration|noun|ventilation, oxygenation, air circulation|
aeration|{{c1::aeration}} is an important process in wastewater treatment.|Aeration is an important process in wastewater treatment.|曝气是废水处理中的一个重要过程。|The introduction of air bubbles into a liquid.|向液体中引入气泡。|aeration|noun|bubbling, air injection, oxygenation|
aeration|Annual {{c1::aeration}} helps maintain a healthy lawn.|Annual aeration helps maintain a healthy lawn.|每年的土壤通气有助于保持健康的草坪。|The process of puncturing the soil to allow air, water, and nutrients to penetrate the ground.|刺穿土壤以允许空气、水和营养物质渗透地面的过程。|aeration|noun|core aeration, soil perforation|
profitable|The company's new product line has been extremely {{c1::profitable}}.|The company's new product line has been extremely profitable.|公司的新产品线非常有利可图。|Yielding profit or financial gain.|产生利润或经济收益的。|profitable|adjective|lucrative, remunerative, gainful, money-making, rewarding|unprofitable, loss-making, uneconomical
profitable|It was a {{c1::profitable}} discussion that led to several new ideas.|It was a profitable discussion that led to several new ideas.|这是一次有益的讨论，产生了几个新想法。|Beneficial or useful.|有益或有用的。|profitable|adjective|advantageous, beneficial, helpful, worthwhile, productive|useless, fruitless, pointless, unproductive
virus|The common cold is caused by a {{c1::virus}}.|The common cold is caused by a virus.|普通感冒是由病毒引起的。|An infective agent that typically consists of a nucleic acid molecule in a protein coat, is too small to be seen by light microscopy, and is able to multiply only within the living cells of a host.|一种感染性病原体，通常由蛋白质外壳中的核酸分子组成，小到无法通过光学显微镜看到，只能在宿主的活细胞内繁殖。|virus|noun|pathogen, infectious agent, microorganism|
virus|The computer was infected with a {{c1::virus}} that deleted important files.|The computer was infected with a virus that deleted important files.|这台计算机感染了一种删除重要文件的病毒。|A piece of code that is capable of copying itself and typically has a detrimental effect, such as corrupting the system or destroying data.|一段能够自我复制并通常具有破坏性影响的代码，例如破坏系统或销毁数据。|virus|noun|malware, computer virus, worm, trojan|antivirus, security software
virus|The {{c1::virus}} of distrust spread throughout the organization.|The virus of distrust spread throughout the organization.|不信任的病毒在整个组织中蔓延。|A harmful or corrupting influence.|有害或腐蚀性的影响。|virus|noun|poison, blight, plague, disease, corruption|remedy, cure, solution
faith|She has {{c1::faith}} in her doctor's ability to cure her illness.|She has faith in her doctor's ability to cure her illness.|她相信医生有能力治愈她的疾病。|Complete trust or confidence in someone or something.|对某人或某事的完全信任或信心。|faith|noun|trust, belief, confidence, conviction|doubt, distrust, skepticism
faith|Her {{c1::faith}} gives her strength during difficult times.|Her faith gives her strength during difficult times.|她的信仰在困难时期给她力量。|Strong belief in the doctrines of a religion, based on spiritual conviction rather than proof.|基于精神信念而非证据的对宗教教义的坚定信仰。|faith|noun|religion, spirituality, devotion, piety|atheism, disbelief, agnosticism
cafeteria|The university {{c1::cafeteria}} offers a variety of meal options for students.|The university cafeteria offers a variety of meal options for students.|大学食堂为学生提供各种餐饮选择。|A restaurant where customers select their food at a counter and carry it to a table.|一种餐厅，顾客在柜台选择食物并自己端到餐桌。|cafeteria|noun|canteen, self-service restaurant, buffet|
cafeteria|The company offers a {{c1::cafeteria}} plan for employee benefits.|The company offers a cafeteria plan for employee benefits.|公司提供自选式的员工福利计划。|A system of providing a range of benefits from which employees can choose according to their needs.|一种福利系统，员工可以根据自己的需求从中选择不同的福利。|cafeteria|noun|cafeteria plan, flexible benefits plan|
involves|The project {{c1::involves}} collaboration between several departments.|The project involves collaboration between several departments.|该项目涉及几个部门之间的合作。|To include or affect as a necessary part of a process, activity, or situation.|作为过程、活动或情况的必要部分而包含或影响。|involve|verb|include, entail, necessitate, require|exclude, omit
involved|She {{c1::involved}} her students in the decision-making process.|She involved her students in the decision-making process.|她让学生参与决策过程。|To cause someone to participate in an activity or situation.|使某人参与活动或情况。|involve|verb|engage, implicate, draw in, enlist|exclude, exempt
dairy|The local {{c1::dairy}} produces organic cheese and yogurt.|The local dairy produces organic cheese and yogurt.|当地乳品厂生产有机奶酪和酸奶。|A place where milk is kept and processed into butter, cheese, etc.|存放牛奶并加工成黄油、奶酪等的地方。|dairy|noun|creamery, milk factory|
dairy|She avoids {{c1::dairy}} in her diet due to lactose intolerance.|She avoids dairy in her diet due to lactose intolerance.|由于乳糖不耐受，她在饮食中避免乳制品。|Food products made from milk, such as butter and cheese.|由牛奶制成的食品，如黄油和奶酪。|dairy|noun|milk products, dairy products|
dairy|The recipe calls for several {{c1::dairy}} ingredients.|The recipe calls for several dairy ingredients.|这个食谱需要几种乳制品原料。|Relating to or containing milk or milk products.|与牛奶或乳制品有关或含有牛奶或乳制品的。|dairy|adjective|milk, lacteal|non-dairy, dairy-free
confirmed|The test results {{c1::confirmed}} our initial diagnosis.|The test results confirmed our initial diagnosis.|测试结果证实了我们最初的诊断。|To establish the truth or correctness of something previously believed or suspected to be the case.|确立先前认为或怀疑属实的事情的真实性或正确性。|confirm|verb|verify, validate, corroborate, authenticate|deny, refute, contradict
confirm|Please {{c1::confirm}} your attendance by Friday.|Please confirm your attendance by Friday.|请在周五前确认您的出席。|To acknowledge with definite assurance that an arrangement is certain.|明确保证某安排是确定的。|confirm|verb|affirm, approve, ratify, endorse|cancel, deny, reject
confirmed|She was {{c1::confirmed}} in the Catholic Church at the age of twelve.|She was confirmed in the Catholic Church at the age of twelve.|她十二岁时在天主教堂接受了坚信礼。|To admit someone formally into full membership of a Christian church.|正式接纳某人成为基督教会的正式成员。|confirm|verb|baptize, initiate|excommunicate
hinges|The old door creaked on its rusty {{c1::hinges}}.|The old door creaked on its rusty hinges.|旧门在生锈的铰链上吱吱作响。|A movable joint or mechanism on which a door, gate, or lid swings as it opens and closes.|门、大门或盖子开关时摆动的活动关节或机构。|hinge|noun|joint, pivot, pin|
hinges|The entire case {{c1::hinges}} on the testimony of one witness.|The entire case hinges on the testimony of one witness.|整个案件的关键在于一位证人的证词。|A central or pivotal point or principle on which everything depends.|一切所依赖的中心点或关键原则。|hinge|noun|crux, pivot, fulcrum, linchpin|
hinged|The cabinet doors are {{c1::hinged}} on the left side.|The cabinet doors are hinged on the left side.|橱柜门的铰链在左侧。|To attach or be attached by or as if by a hinge.|通过铰链或类似铰链的方式连接或被连接。|hinge|verb|pivot, swivel, rotate|
hinges|Our success {{c1::hinges}} on getting the contract signed by tomorrow.|Our success hinges on getting the contract signed by tomorrow.|我们的成功取决于明天能否签署合同。|To depend entirely on something.|完全依赖于某事物。|hinge|verb|depend, rest, rely, turn|
hurricane|The coastal areas were evacuated before the {{c1::hurricane}} made landfall.|The coastal areas were evacuated before the hurricane made landfall.|在飓风登陆前，沿海地区的居民已被疏散。|A storm with a violent wind, in particular a tropical cyclone in the Caribbean.|一种伴有强风的风暴，尤指加勒比海地区的热带气旋。|hurricane|noun|cyclone, typhoon, tropical storm, tempest|
hurricane|The ship struggled to maintain course in the {{c1::hurricane}}-force winds.|The ship struggled to maintain course in the hurricane-force winds.|船只在飓风级别的风力中努力保持航向。|A wind of force 12 on the Beaufort scale (equal to or exceeding 64 knots or 74 mph).|蒲福风级表上的12级风（等于或超过64节或74英里/小时）。|hurricane|noun|gale, storm, tempest|calm, breeze
subsidises|The government {{c1::subsidises}} public transportation to keep fares affordable.|The government subsidises public transportation to keep fares affordable.|政府补贴公共交通以保持票价的可负担性。|To support financially, especially to pay part of the cost of producing something so that it can be sold at a lower price.|提供财政支持，特别是支付部分生产成本，使产品可以以较低的价格出售。|subsidise|verb|fund, finance, sponsor, underwrite|tax, charge
subsidises|The company {{c1::subsidises}} childcare for its employees.|The company subsidises childcare for its employees.|公司为员工提供托儿服务补贴。|To pay part of the cost of something.|支付某物的部分费用。|subsidise|verb|assist, aid, support, help|charge, bill
stain|She tried to remove the coffee {{c1::stain}} from her white shirt.|She tried to remove the coffee stain from her white shirt.|她试图去除白衬衫上的咖啡渍。|A discoloration produced by foreign matter having penetrated into or chemically reacted with a material.|由外来物质渗入材料或与材料发生化学反应而产生的变色。|stain|noun|mark, spot, blot, smudge|
stain|He applied a walnut {{c1::stain}} to the new bookshelf.|He applied a walnut stain to the new bookshelf.|他在新书架上涂了一层胡桃木色的染色剂。|A substance used to give color to something, especially wood.|用于给物体上色的物质，尤其是木材。|stain|noun|dye, colorant, tint, pigment|
stain|The scandal left a {{c1::stain}} on his reputation.|The scandal left a stain on his reputation.|这个丑闻给他的声誉留下了污点。|A moral blemish or stigma.|道德瑕疵或污点。|stain|noun|taint, blemish, stigma, blot|honor, credit
stained|The red wine {{c1::stained}} the carpet.|The red wine stained the carpet.|红酒染污了地毯。|To mark or discolor with a stain.|用污渍标记或使变色。|stain|verb|mark, spot, discolor, soil|clean, bleach
stained|They {{c1::stained}} the wood a deep mahogany color.|They stained the wood a deep mahogany color.|他们将木材染成深红木色。|To color (a material) by using a penetrating dye or chemical.|使用渗透性染料或化学物质给（材料）上色。|stain|verb|dye, tint, color, tinge|bleach, decolorize
unloaded|The workers {{c1::unloaded}} the truck in less than an hour.|The workers unloaded the truck in less than an hour.|工人们在不到一小时内卸完了卡车。|To remove a load or cargo from a vehicle, ship, etc.|从车辆、船只等卸下负载或货物。|unload|verb|discharge, offload, empty, remove|load, fill, pack
